metric,value
valence/r2,0.05901310915115421
valence/pearson,0.27315213150006645
valence/mse,0.09654115187115554
valence/rmse,0.31071072056038807
arousal/r2,0.08869529877076543
arousal/pearson,0.30859355727447585
arousal/mse,0.2124579149452396
arousal/rmse,0.46093157295333936
mean/r2,0.07385420396095982
mean/pearson,0.2908728443872711
mean/mse,0.15449953340819758
mean/rmse,0.38582114675686374
