metric,value
valence/r2,0.023484748382406995
valence/pearson,0.20980048489334852
valence/mse,0.09236214045177286
valence/rmse,0.30391140230628544
arousal/r2,0.09731805902091839
arousal/pearson,0.32104253178761216
arousal/mse,0.204158913208543
arousal/rmse,0.45183947725773477
mean/r2,0.06040140370166269
mean/pearson,0.26542150834048034
mean/mse,0.14826052683015795
mean/rmse,0.3778754397820101
