metric,value
valence/r2,-0.0005314750307370275
valence/pearson,0.18718818154874417
valence/mse,0.09463367670922664
valence/rmse,0.3076258713262372
arousal/r2,0.06427644892764228
arousal/pearson,0.2842574833276999
arousal/mse,0.21163190995420406
arousal/rmse,0.460034683425287
mean/r2,0.03187248694845263
mean/pearson,0.23572283243822204
mean/mse,0.15313279333171534
mean/rmse,0.38383027737576214
