metric,value
valence/r2,0.014331325023340002
valence/pearson,0.19360334754784725
valence/mse,0.09322790242784465
valence/rmse,0.305332445750275
arousal/r2,0.09548734771241274
arousal/pearson,0.31847610283180716
arousal/mse,0.20457296384385065
arousal/rmse,0.45229742851784005
mean/r2,0.05490933636787637
mean/pearson,0.2560397251898272
mean/mse,0.14890043313584767
mean/rmse,0.37881493713405756
