metric,value
valence/r2,0.023524311922958674
valence/pearson,0.23561668266678623
valence/mse,0.10018214771950497
valence/rmse,0.31651563582152614
arousal/r2,0.04598501854542847
arousal/pearson,0.2608214907188551
arousal/mse,0.22241521799784328
arousal/rmse,0.4716091792976927
mean/r2,0.03475466523419357
mean/pearson,0.24821908669282067
mean/mse,0.16129868285867413
mean/rmse,0.3940624075596094
