model,metrics_from,valence_rmse,valence_mse,valence_pearson,valence_r2,arousal_rmse,arousal_mse,arousal_pearson,arousal_r2
lgbmuy-419a652-final,tests\FINAL_4_ORIGINAL_TEST\arousal\large\lgbmuy-419a652-final\version_0,0.6106648887145998,0.37291160630881454,0.19360335201786213,0.014331328565941659,0.9045948552411073,0.8182918521286798,0.3184761040179398,0.09548734903855749
lgbmeh-eea06c1-final,tests\FINAL_4_ORIGINAL_TEST\arousal\small\lgbmeh-eea06c1-final\version_0,0.6179567281569023,0.3818705178743836,0.17427240478223938,-0.009348595338108057,0.9247973334589397,0.8552501079727652,0.26945161283843205,0.054634919820933936
lgbmv6-84f7612-final,tests\FINAL_4_ORIGINAL_TEST\valence\large\lgbmv6-84f7612-final\version_0,0.607822804177879,0.36944856127866027,0.2098004803214747,0.023484744378807987,0.9036789521063576,0.8166356484800446,0.32104253483400563,0.0973180615757312
lgbmfp-78d3c21-final,tests\FINAL_4_ORIGINAL_TEST\valence\small\lgbmfp-78d3c21-final\version_0,0.6152517435384149,0.37853470792705957,0.18718817179341196,-0.0005314834453433726,0.9200693658141796,0.8465276379097066,0.28425748306921994,0.06427644869494786
