model,metrics_from,valence_rmse,valence_mse,valence_pearson,valence_r2,arousal_rmse,arousal_mse,arousal_pearson,arousal_r2
lgbmuy-419a652,tests\BEST_4_TRANSFORMED_VALIDATION\arousal\large\lgbmuy-419a652\version_0,0.31071072063734806,0.09654115191898016,0.2731521311109856,0.05901310868500753,0.4609315727099365,0.2124579147208555,0.3085935585490698,0.08869529973322554
lgbmeh-eea06c1,tests\BEST_4_TRANSFORMED_VALIDATION\arousal\small\lgbmeh-eea06c1\version_0,0.31651563575974395,0.10018214768039492,0.23561668314813627,0.023524312304164297,0.47160917941105174,0.2224152181047656,0.2608214900515621,0.04598501808680222
lgbmv6-84f7612,tests\BEST_4_TRANSFORMED_VALIDATION\valence\large\lgbmv6-84f7612\version_0,0.30901045486351353,0.09548746121495552,0.2843381051784671,0.06928343507203627,0.46537402985556736,0.2165729876640105,0.2861715328581682,0.07104434368404777
lgbmfp-78d3c21,tests\BEST_4_TRANSFORMED_VALIDATION\valence\small\lgbmfp-78d3c21\version_0,0.3137235023317165,0.09842243591527852,0.2588974342244004,0.04067622804737958,0.472174426172713,0.22294868873153081,0.2565667870561911,0.043696780012621006
