metric,value
valence/r2,0.04067622837091178
valence/pearson,0.258897434635561
valence/mse,0.09842243588208555
valence/rmse,0.31372350227881485
arousal/r2,0.04369677966940022
arousal/pearson,0.25656678656517795
arousal/mse,0.2229486888115479
arousal/rmse,0.47217442625744555
mean/r2,0.042186504020156
mean/pearson,0.2577321106003695
mean/mse,0.16068556234681672
mean/rmse,0.3929489642681302
