metric,value
valence/r2,0.06928343533712866
valence/pearson,0.28433810549259825
valence/mse,0.09548746118775821
valence/rmse,0.3090104548195064
arousal/r2,0.07104434400375048
arousal/pearson,0.2861715334837591
arousal/mse,0.2165729875894763
arousal/rmse,0.4653740297754875
mean/r2,0.07016388967043957
mean/pearson,0.28525481948817866
mean/mse,0.15603022438861724
mean/rmse,0.38719224229749694
