metric,value
valence/r2,-0.009348595283839911
valence/pearson,0.17427240505988836
valence/mse,0.09546762999141888
valence/rmse,0.30897836492450226
arousal/r2,0.05463491423532685
arousal/pearson,0.2694516062436609
arousal/mse,0.2138125287913446
arousal/rmse,0.4623986686738453
mean/r2,0.02264315947574347
mean/pearson,0.2218620056517746
mean/mse,0.15464007939138175
mean/rmse,0.3856885167991738
